               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07799,            0.028869,            0.023272,             0.11881,             0.29985,            0.082669,            0.016191,            0.032891,            0.015229,            0.013013,             0.00045,             0.00045,             0.09595
                   1,            0.057958,            0.026452,            0.022766,             0.29447,             0.45581,             0.28053,             0.10611,            0.021111,             0.01258,            0.011672,             0.00091,             0.00091,             0.09181
                   2,            0.045419,            0.023065,            0.022238,             0.43806,             0.59738,             0.46562,              0.2443,            0.021418,           0.0092904,            0.010859,             0.00137,             0.00137,             0.08767
                   3,            0.036866,            0.019731,            0.020543,             0.50113,             0.71564,             0.58644,             0.26071,            0.022002,           0.0076137,            0.010324,             0.00183,             0.00183,             0.08353
                   4,            0.040474,            0.017986,            0.019857,             0.48908,             0.74288,             0.62638,             0.33678,             0.01848,           0.0068935,           0.0096372,           0.0022899,           0.0022899,             0.07939
                   5,            0.036033,            0.017523,            0.016406,             0.59882,             0.69977,             0.65519,              0.3143,            0.019701,           0.0060858,           0.0059399,           0.0027498,           0.0027498,             0.07525
                   6,            0.037786,            0.016381,            0.012629,             0.66314,                0.76,             0.72156,             0.31021,            0.016953,           0.0053326,           0.0044336,           0.0032097,           0.0032097,             0.07111
                   7,            0.035356,            0.016389,            0.012947,             0.62506,             0.81735,               0.747,             0.35481,            0.017273,           0.0048019,           0.0032276,           0.0036695,           0.0036695,             0.06697
                   8,            0.032504,             0.01552,            0.010732,             0.70192,             0.82708,             0.79756,             0.33879,             0.01794,           0.0050607,           0.0036111,           0.0041293,           0.0041293,            0.062829
                   9,            0.034898,            0.015848,            0.010752,             0.75978,             0.78068,             0.80493,             0.43261,            0.014505,           0.0054755,           0.0040613,            0.004589,            0.004589,            0.058689
                  10,            0.034347,            0.014896,           0.0091873,              0.6504,             0.72297,             0.70491,             0.34612,            0.020109,           0.0059102,           0.0058137,           0.0050486,           0.0050486,            0.054549
                  11,            0.037424,            0.014945,            0.011748,             0.63016,             0.66819,             0.64711,             0.32793,            0.017214,           0.0061175,            0.006198,           0.0055082,           0.0055082,            0.050408
                  12,            0.034288,            0.015686,            0.010327,             0.67667,             0.75344,              0.7542,             0.44148,            0.016195,           0.0059128,           0.0051359,           0.0059676,           0.0059676,            0.046268
                  13,            0.034379,            0.015124,           0.0093184,             0.72677,             0.82561,             0.82247,             0.47461,             0.01622,           0.0057097,           0.0039729,            0.006427,            0.006427,            0.042127
                  14,            0.031984,            0.015002,           0.0098472,             0.76593,              0.7486,             0.82799,             0.41801,            0.017193,           0.0051509,           0.0079555,           0.0068863,           0.0068863,            0.037986
                  15,            0.030698,            0.015876,            0.010596,             0.68908,             0.66056,             0.68992,             0.36568,             0.01571,           0.0069525,           0.0072134,           0.0073455,           0.0073455,            0.033845
                  16,             0.03173,            0.015976,           0.0096844,             0.72756,             0.77887,             0.80619,             0.49397,            0.014243,           0.0054128,           0.0044704,           0.0078045,           0.0078045,            0.029705
                  17,             0.03281,            0.015363,           0.0082835,             0.65532,             0.63231,             0.64661,             0.22651,            0.020436,           0.0063101,           0.0066718,           0.0082634,           0.0082634,            0.025563
                  18,            0.033716,            0.015411,            0.009919,               0.706,             0.71617,             0.75399,             0.44213,            0.013835,           0.0063415,           0.0032363,           0.0087222,           0.0087222,            0.021422
                  19,            0.032562,            0.015736,            0.010639,             0.65541,             0.63341,             0.65274,             0.30481,            0.018467,              0.0064,           0.0050241,           0.0091809,           0.0091809,            0.017281
                  20,            0.036339,             0.01601,             0.01008,             0.55448,             0.59252,             0.53533,             0.21134,            0.020845,           0.0067615,           0.0098051,           0.0096394,           0.0096394,            0.013139
                  21,            0.031529,             0.01558,            0.011232,             0.83017,             0.71418,             0.84799,             0.43102,            0.016558,           0.0057855,           0.0063175,           0.0099879,           0.0099879,           0.0099879
                  22,            0.030764,            0.015829,            0.010683,             0.73066,             0.77572,             0.79465,             0.46639,            0.015285,           0.0062324,           0.0067537,           0.0099879,           0.0099879,           0.0099879
                  23,            0.033217,            0.015521,            0.009949,             0.61728,             0.54267,             0.54699,             0.30237,            0.018973,           0.0071182,            0.010683,           0.0099867,           0.0099867,           0.0099867
                  24,            0.028405,            0.016751,           0.0098095,             0.62445,             0.68576,             0.62757,             0.29665,            0.018828,           0.0076303,            0.013483,           0.0099855,           0.0099855,           0.0099855
                  25,            0.031817,            0.016403,            0.010433,             0.69189,             0.63041,              0.6906,             0.33014,            0.016706,           0.0067688,            0.009651,           0.0099842,           0.0099842,           0.0099842
                  26,            0.030616,            0.016401,           0.0095718,             0.79309,              0.7268,             0.79431,             0.47158,            0.015682,           0.0057591,           0.0060819,           0.0099829,           0.0099829,           0.0099829
                  27,            0.032502,            0.016068,            0.010313,             0.73916,             0.73265,             0.76669,              0.4581,             0.01431,           0.0058734,           0.0077876,           0.0099815,           0.0099815,           0.0099815
                  28,            0.026042,            0.015307,           0.0095493,              0.8324,             0.74429,             0.82594,             0.49405,            0.014254,           0.0056693,           0.0052805,             0.00998,             0.00998,             0.00998
                  29,            0.027109,            0.015497,            0.010541,              0.7889,             0.73315,             0.78726,             0.47753,            0.013919,           0.0057539,           0.0040033,           0.0099785,           0.0099785,           0.0099785
                  30,            0.031911,            0.015205,           0.0093376,             0.82508,              0.8519,             0.87579,             0.58383,            0.013315,           0.0050095,           0.0034374,            0.009977,            0.009977,            0.009977
                  31,            0.029509,            0.015304,            0.010276,             0.73777,             0.78414,              0.8315,             0.50259,            0.013515,           0.0056244,           0.0042038,           0.0099753,           0.0099753,           0.0099753
                  32,            0.025751,            0.015468,            0.009999,             0.80034,              0.7993,              0.8419,               0.433,            0.014422,           0.0055561,           0.0027172,           0.0099737,           0.0099737,           0.0099737
                  33,            0.028797,            0.015263,            0.010036,             0.82062,             0.84888,             0.90177,             0.61567,            0.013122,           0.0049127,           0.0037124,            0.009972,            0.009972,            0.009972
                  34,            0.027442,            0.014648,           0.0089255,             0.83669,             0.91056,             0.93024,             0.61281,            0.012117,           0.0046178,           0.0044904,           0.0099702,           0.0099702,           0.0099702
                  35,            0.024361,            0.013726,           0.0085274,             0.85662,             0.79962,             0.88187,             0.58716,            0.011319,           0.0049919,           0.0069431,           0.0099683,           0.0099683,           0.0099683
                  36,            0.025324,            0.014335,           0.0069962,             0.88309,             0.88552,             0.92554,             0.65252,            0.011889,           0.0043874,           0.0035737,           0.0099665,           0.0099665,           0.0099665
                  37,            0.026698,            0.014352,           0.0068314,             0.89304,             0.86372,              0.9244,              0.6431,            0.011353,           0.0045911,           0.0051109,           0.0099645,           0.0099645,           0.0099645
                  38,            0.024609,            0.014762,            0.006614,             0.80846,             0.86299,             0.90533,             0.63721,            0.010425,           0.0046485,           0.0032397,           0.0099625,           0.0099625,           0.0099625
                  39,            0.026481,            0.014783,           0.0073392,             0.82051,              0.8267,             0.89286,             0.60442,             0.01255,           0.0051582,           0.0030954,           0.0099605,           0.0099605,           0.0099605
                  40,            0.026011,            0.014849,           0.0076583,             0.85618,             0.86497,             0.90677,             0.60378,            0.011727,           0.0049746,           0.0023432,           0.0099584,           0.0099584,           0.0099584
                  41,            0.026406,            0.014282,           0.0075646,             0.62197,             0.45798,             0.50434,              0.2096,            0.022535,           0.0076614,           0.0094827,           0.0099562,           0.0099562,           0.0099562
                  42,            0.024634,            0.014453,            0.007164,             0.88112,             0.77947,             0.88705,             0.56603,              0.0125,           0.0056114,           0.0025069,            0.009954,            0.009954,            0.009954
                  43,            0.026257,            0.014697,           0.0080736,             0.84102,             0.83142,             0.88656,             0.62009,            0.011659,           0.0050777,           0.0027775,           0.0099517,           0.0099517,           0.0099517
                  44,            0.022645,            0.014401,           0.0075411,             0.74461,                0.78,             0.81223,             0.55723,            0.012496,           0.0052703,           0.0070256,           0.0099494,           0.0099494,           0.0099494
                  45,            0.025021,            0.013577,           0.0077195,             0.84577,              0.8606,             0.90436,             0.65402,            0.010283,           0.0046552,           0.0023717,            0.009947,            0.009947,            0.009947
                  46,            0.024301,            0.014459,            0.007469,             0.82865,             0.89992,             0.90355,             0.64164,            0.010737,           0.0048277,           0.0021209,           0.0099446,           0.0099446,           0.0099446
                  47,             0.02403,            0.014587,           0.0067617,             0.85018,             0.78756,              0.8699,             0.56444,            0.012944,           0.0057843,           0.0048367,           0.0099421,           0.0099421,           0.0099421
                  48,            0.026904,            0.014766,           0.0072682,             0.85906,             0.82756,             0.90237,             0.63439,             0.01302,           0.0049156,           0.0085279,           0.0099396,           0.0099396,           0.0099396
                  49,            0.024041,            0.014123,           0.0053405,             0.82943,             0.87294,             0.90444,             0.64809,            0.012508,           0.0047654,           0.0069337,            0.009937,            0.009937,            0.009937
                  50,            0.021257,            0.013672,           0.0052305,             0.86262,             0.87932,             0.91796,             0.65518,             0.01225,           0.0044607,           0.0051036,           0.0099343,           0.0099343,           0.0099343
                  51,            0.026736,            0.013837,            0.006633,             0.86632,             0.84226,             0.90445,             0.62525,            0.011848,           0.0048258,           0.0030732,           0.0099316,           0.0099316,           0.0099316
                  52,             0.02265,             0.01374,           0.0057048,              0.8618,             0.87144,             0.92408,             0.70758,           0.0096519,           0.0042082,           0.0027889,           0.0099289,           0.0099289,           0.0099289
                  53,            0.025841,            0.013455,           0.0063921,             0.88264,             0.89128,             0.93124,              0.6766,            0.011035,           0.0045136,           0.0023537,           0.0099261,           0.0099261,           0.0099261
                  54,            0.022895,             0.01401,           0.0072165,              0.8716,             0.85506,             0.91154,             0.65178,            0.012788,            0.004902,           0.0046128,           0.0099232,           0.0099232,           0.0099232
                  55,            0.024099,            0.013732,            0.007451,             0.81789,             0.77931,             0.84562,              0.5462,             0.01377,           0.0049926,           0.0061999,           0.0099203,           0.0099203,           0.0099203
                  56,             0.02229,            0.013226,           0.0059656,             0.86378,             0.88786,             0.92948,             0.68816,           0.0095804,           0.0043959,           0.0037395,           0.0099173,           0.0099173,           0.0099173
                  57,            0.021015,            0.013268,            0.004644,             0.84518,             0.88903,             0.92652,             0.70353,           0.0089821,           0.0043456,           0.0035475,           0.0099143,           0.0099143,           0.0099143
                  58,            0.025769,            0.013147,           0.0051007,             0.83923,             0.85014,             0.90652,             0.66427,             0.00966,           0.0044067,           0.0055809,           0.0099112,           0.0099112,           0.0099112
                  59,            0.023718,            0.013366,           0.0061219,             0.83331,             0.89174,             0.91153,             0.68921,            0.010888,           0.0043626,           0.0062108,           0.0099081,           0.0099081,           0.0099081
                  60,            0.022481,            0.012757,           0.0054763,             0.60965,             0.65616,             0.61194,             0.31404,            0.017527,           0.0062376,            0.015157,           0.0099049,           0.0099049,           0.0099049
                  61,            0.024555,            0.013507,            0.010431,             0.61527,              0.6776,             0.66357,             0.39258,            0.015467,            0.006118,            0.013243,           0.0099017,           0.0099017,           0.0099017
                  62,            0.025691,            0.014719,           0.0091462,             0.76883,              0.8592,             0.86267,              0.5569,            0.012309,           0.0056961,           0.0049122,           0.0098984,           0.0098984,           0.0098984
                  63,            0.023647,            0.014017,           0.0084539,             0.84372,             0.80273,             0.89945,             0.66017,           0.0088737,           0.0045766,           0.0042384,            0.009895,            0.009895,            0.009895
                  64,            0.022879,            0.014367,           0.0065006,             0.72145,             0.73628,             0.78812,             0.51004,            0.013647,           0.0056295,           0.0082974,           0.0098916,           0.0098916,           0.0098916
